,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
23531,3624.0,12/13,01/07/2012,Recr. Huelva B,Recreativo,-,-
23532,3624.0,11/12,01/07/2011,RCD Espanyol B,Recr. Huelva B,-,Libre
23533,3624.0,10/11,01/07/2010,Esp. Juvenil A,RCD Espanyol B,-,-
23534,3625.0,16/17,01/07/2016,Girona FC,Real Valladolid,"1,00 mill. €",Libre
23535,3625.0,12/13,01/07/2012,R. M. Castilla,Girona FC,-,Libre
23536,3625.0,10/11,01/07/2010,RCD Espanyol B,R. M. Castilla,200 miles €,?
23537,3625.0,09/10,30/06/2010,Panionios,RCD Espanyol B,200 miles €,Fin de préstamo
23538,3625.0,09/10,01/07/2009,RCD Espanyol B,Panionios,-,Préstamo
23539,3625.0,08/09,01/07/2008,Espanyol,RCD Espanyol B,300 miles €,-
23540,3625.0,07/08,01/01/2008,RCD Espanyol B,Espanyol,200 miles €,-
23541,3626.0,16/17,08/07/2016,Alavés,Real Valladolid,300 miles €,Libre
23542,3626.0,15/16,01/07/2015,Lleida Esportiu,Alavés,400 miles €,Libre
23543,3626.0,12/13,01/07/2012,AD Ceuta,Lleida Esportiu,-,Libre
23544,3626.0,11/12,01/07/2011,San Roque,AD Ceuta,-,?
23545,3626.0,10/11,01/07/2010,Sant Andreu,San Roque,-,Libre
23546,3626.0,09/10,01/07/2009,Terrassa FC,Sant Andreu,-,?
23547,3626.0,08/09,01/07/2008,FC Barcelona B,Terrassa FC,-,Libre
23548,3626.0,07/08,01/07/2007,Barça Juvenil A,FC Barcelona B,-,-
23549,3627.0,16/17,01/07/2016,Real Zaragoza,Real Valladolid,300 miles €,Libre
23550,3627.0,15/16,01/02/2016,Sporting,Real Zaragoza,200 miles €,Libre
23551,3627.0,15/16,10/07/2015,Sporting B,Sporting,-,-
23552,3627.0,13/14,02/09/2013,Racing B,Sporting B,-,Libre
23553,3628.0,16/17,02/08/2016,FC Porto,Real Valladolid,600 miles €,Préstamo
23554,3628.0,15/16,30/06/2016,Sporting,FC Porto,700 miles €,Fin de préstamo
23555,3628.0,15/16,21/01/2016,FC Porto,Sporting,750 miles €,Préstamo
23556,3628.0,15/16,01/07/2015,Porto B,FC Porto,750 miles €,-
23557,3628.0,14/15,01/07/2014,U. de Chile,Porto B,300 miles €,"1,84 mill. €"
23558,3628.0,11/12,01/10/2011,Universidad U19,U. de Chile,-,-
23559,3629.0,16/17,13/07/2016,SC Paderborn,Real Valladolid,500 miles €,Libre
23560,3629.0,14/15,31/08/2014,Getafe CF,SC Paderborn,"2,50 mill. €",Libre
23561,3629.0,08/09,01/07/2008,Real Valladolid,Getafe CF,"1,40 mill. €",?
23562,3629.0,03/04,01/07/2003,Valladolid B,Real Valladolid,-,-
23563,3630.0,16/17,12/08/2016,North Carolina,Real Valladolid,200 miles €,Libre
23564,3630.0,15/16,24/09/2015,Sin equipo,RailHawks,200 miles €,-
23565,3630.0,15/16,01/07/2015,Getafe CF,Sin equipo,200 miles €,-
23566,3630.0,13/14,30/06/2014,Recreativo,Getafe CF,300 miles €,Fin de préstamo
23567,3630.0,13/14,31/01/2014,Getafe CF,Recreativo,350 miles €,Préstamo
23568,3630.0,13/14,24/01/2014,Levski Sofia,Getafe CF,350 miles €,Fin de préstamo
23569,3630.0,13/14,20/08/2013,Getafe CF,Levski Sofia,200 miles €,Préstamo
23570,3630.0,12/13,30/06/2013,SD Huesca,Getafe CF,200 miles €,Fin de préstamo
23571,3630.0,12/13,17/07/2012,Getafe CF,SD Huesca,-,Préstamo
23572,3630.0,12/13,01/07/2012,Getafe CF B,Getafe CF,-,-
23573,3631.0,16/17,18/07/2016,CA Huracán,Real Valladolid,"2,50 mill. €",Libre
23574,3631.0,14/15,02/01/2015,CA Lanús,CA Huracán,"1,25 mill. €",Libre
23575,3631.0,14/15,28/07/2014,LDU Quito,CA Lanús,"1,25 mill. €",Fin de préstamo
23576,3631.0,13/14,28/01/2014,CA Lanús,LDU Quito,"1,25 mill. €",Préstamo
23577,3631.0,10/11,01/07/2010,Lanus II,CA Lanús,50 miles €,-
23578,3631.0,07/08,01/01/2008,Lanus U20,Lanus II,-,-
23579,3632.0,16/17,01/07/2016,Valladolid B,Real Valladolid,-,-
23580,3632.0,14/15,06/08/2014,Real Madrid C,Valladolid B,-,Libre
23581,3632.0,12/13,01/07/2012,Real Madrid U19,Real Madrid C,-,-
23582,3632.0,11/12,01/07/2011,R. Madrid Cad.,Real Madrid U19,-,-
23583,3633.0,15/16,18/08/2015,CD Tenerife,Real Valladolid,500 miles €,50 miles €
23584,3633.0,12/13,14/07/2012,UD Melilla,CD Tenerife,-,Libre
23585,3633.0,11/12,01/07/2011,UD Almería B,UD Melilla,-,Libre
23586,3633.0,10/11,01/07/2010,Real Jaén CF,UD Almería B,-,Libre
23587,3633.0,06/07,01/06/2007,UD Lanzarote,Real Jaén CF,-,Fin de préstamo
23588,3633.0,06/07,01/01/2007,Real Jaén CF,UD Lanzarote,-,Préstamo
23589,3634.0,16/17,01/07/2016,Bilbao Athletic,Real Valladolid,400 miles €,Préstamo
23590,3634.0,13/14,01/07/2013,CD Basconia,Bilbao Athletic,300 miles €,-
23591,3634.0,12/13,01/07/2012,Athletic Juv. A,CD Basconia,-,-
23592,3635.0,14/15,01/07/2014,Paços Ferreira,Real Valladolid,"3,00 mill. €",Libre
23593,3635.0,09/10,01/01/2010,CFR Cluj,Paços Ferreira,500 miles €,Libre
23594,3635.0,07/08,01/07/2007,Beira-Mar,CFR Cluj,100 miles €,500 miles €
23595,3635.0,06/07,01/07/2006,Porto B,Beira-Mar,-,Libre
23596,3635.0,05/06,01/07/2005,Freamunde,Porto B,-,100 miles €
23597,3635.0,03/04,01/07/2003,Freamunde U19,Freamunde,-,-
23598,3635.0,02/03,01/07/2002,Freamunde Sub17,Freamunde U19,-,-
23599,3636.0,16/17,28/07/2016,Celta de Vigo,Real Valladolid,"2,00 mill. €",Préstamo
23600,3636.0,15/16,30/06/2016,Sheff Wed,Celta de Vigo,"2,50 mill. €",Fin de préstamo
23601,3636.0,15/16,10/07/2015,Celta de Vigo,Sheff Wed,"2,50 mill. €",Préstamo
23602,3636.0,10/11,01/07/2010,Celta B,Celta de Vigo,-,-
23603,3636.0,09/10,01/07/2009,Narón Balompié,Celta B,-,?
23604,3636.0,07/08,01/07/2007,Ferrol,Narón Balompié,-,Libre
23605,3636.0,05/06,30/06/2006,SD O Val,Ferrol,-,Fin de préstamo
23606,3636.0,05/06,01/07/2005,Ferrol Juvenil,Ferrol,-,-
23607,3636.0,05/06,01/07/2005,Ferrol,SD O Val,-,Préstamo
23608,3637.0,16/17,26/07/2016,Espanyol,Real Valladolid,600 miles €,Préstamo
23609,3637.0,15/16,01/07/2015,RCD Espanyol B,Espanyol,300 miles €,-
23610,3638.0,16/17,21/07/2016,Villarreal CF,Real Valladolid,400 miles €,Libre
23611,3638.0,15/16,30/06/2016,CD Lugo,Villarreal CF,500 miles €,Fin de préstamo
