,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
82498,3824.0,09/10,LaLiga2,Rayo Vallecano,38,36,"1,36",2,-,-,1,1,11,-,1,-,1.548',3.095',-,-
82499,3824.0,09/10,Copa del Rey,Rayo Vallecano,5,3,"1,33",-,-,-,-,-,-,-,-,-,-,300',-,-
82500,3824.0,08/09,LaLiga2,UD Salamanca,33,32,"1,50",1,-,-,1,3,7,-,-,-,2.704',2.704',-,-
82501,3824.0,07/08,LaLiga2,UD Salamanca,35,35,"1,51",1,-,1,3,1,10,-,-,-,2.872',2.872',-,-
82502,3825.0,16/17,LaLiga2,Elche CF,9,6,"1,33",-,-,-,2,-,1,-,-,-,-,394',-,-
82503,3825.0,16/17,Copa del Rey,Elche CF,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,210',-,-
82504,3825.0,15/16,LaLiga2,Bilbao Athletic,41,32,"0,66",1,-,-,3,8,8,-,-,-,2.532',2.532',-,-
82505,3825.0,14/15,Promoción de ascenso a LaLiga2 ,Bilbao Athletic,6,6,"1,83",-,-,-,-,-,2,-,-,-,-,540',-,-
82506,3825.0,14/15,Segunda División B - Grupo II,Bilbao Athletic,13,8,"1,88",1,-,-,2,2,2,1,-,-,474',474',-,-
82507,3826.0,16/17,LaLiga2,Elche CF,17,15,"1,27",-,3,-,1,4,6,-,-,-,-,1.222',-,-
82508,3826.0,16/17,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82509,3826.0,14/15,LaLiga,Elche CF,30,18,"1,06",3,3,-,2,2,7,-,-,1,479',1.437',-,-
82510,3826.0,14/15,Copa del Rey,Elche CF,4,4,"1,00",-,-,-,-,-,1,-,-,-,-,360',-,-
82511,3826.0,13/14,LaLiga,Elche CF,22,18,"1,06",3,1,-,-,1,4,-,-,3,529',1.588',-,-
82512,3826.0,13/14,Copa del Rey,Elche CF,2,1,"1,00",-,-,-,1,-,-,-,-,-,-,21',-,-
82513,3826.0,12/13,LaLiga2,Elche CF,38,38,"1,95",8,7,-,-,1,15,-,-,5,426',3.406',-,-
82514,3826.0,11/12,LaLiga2,Elche CF,33,33,"1,30",5,-,-,-,4,12,1,1,-,567',2.835',-,-
82515,3826.0,11/12,Copa del Rey,Elche CF,1,1,"3,00",-,-,-,-,-,1,-,-,-,-,90',-,-
82516,3826.0,10/11,Promoción de ascenso a LaLiga ,Elche CF,4,4,"1,25",2,-,-,-,1,2,-,-,-,177',353',-,-
82517,3826.0,10/11,LaLiga2,Elche CF,33,30,"1,57",3,-,-,3,3,13,1,-,-,775',2.325',-,-
82518,3826.0,09/10,LaLiga2,Rayo Vallecano,33,30,"1,13",2,-,-,1,4,12,1,-,-,1.244',2.488',-,-
82519,3826.0,09/10,Copa del Rey,Rayo Vallecano,1,1,"1,00",1,-,-,-,-,1,-,-,-,90',90',-,-
82520,3826.0,08/09,LaLiga2,Deportivo Alavés,34,28,"1,11",3,-,-,1,1,10,2,-,-,778',2.335',-,-
82521,3826.0,07/08,LaLiga2,Hércules CF,30,30,"1,60",-,-,-,3,2,7,-,-,-,-,2.371',-,-
82522,3826.0,06/07,LaLiga2,Hércules CF,1,1,"0,00",-,-,-,-,-,1,-,-,-,-,90',-,-
82523,3827.0,16/17,LaLiga2,Elche CF,23,21,"1,24",1,-,-,3,-,7,1,-,-,1.664',1.664',-,-
82524,3827.0,16/17,Copa del Rey,Elche CF,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82525,3827.0,15/16,LaLiga,RCD Espanyol,10,7,"1,43",-,-,-,2,2,2,1,-,-,-,469',-,-
82526,3827.0,15/16,Copa del Rey,RCD Espanyol,2,2,"0,50",-,-,-,-,-,-,-,-,-,-,180',-,-
82527,3827.0,14/15,Segunda División B - Grupo III,RCD Espanyol B,34,34,"1,35",-,-,-,-,3,13,1,-,-,-,2.995',-,-
82528,3827.0,14/15,Copa del Rey,RCD Espanyol,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82529,3827.0,13/14,Segunda División B - Grupo III,RCD Espanyol B,19,19,"1,47",1,-,-,-,2,5,-,1,-,1.680',1.680',-,-
82530,3827.0,12/13,Segunda División B - Grupo I,Rayo Vallecano B,11,11,"1,00",-,1,-,-,-,6,-,-,-,-,990',-,-
82531,3827.0,12/13,LaLiga,Rayo Vallecano,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82532,3827.0,11/12,LaLiga,Rayo Vallecano,3,2,"0,00",-,-,-,-,2,1,-,-,-,-,91',-,-
82533,3828.0,16/17,LaLiga2,Elche CF,19,10,"0,90",-,-,-,4,3,-,-,-,-,-,593',-,-
82534,3828.0,16/17,Copa del Rey,Elche CF,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,210',-,-
82535,3828.0,15/16,Segunda División B - Grupo IV,Real Jaén CF,34,34,"1,32",-,-,-,-,-,7,-,-,-,-,3.060',-,-
82536,3828.0,14/15,Segunda División B - Grupo IV,Sevilla Atlético,3,2,"2,00",-,-,-,2,-,-,-,-,-,-,41',-,-
82537,3829.0,16/17,LaLiga2,Elche CF,2,2,"1,50",-,-,-,-,1,-,-,-,-,-,135',-,-
82538,3829.0,15/16,LaLiga2,Elche CF,36,35,"1,46",-,1,-,-,9,11,-,1,-,-,3.013',-,-
82539,3829.0,14/15,LaLiga2,Sporting de Gijón,18,10,"1,80",-,-,-,3,3,2,-,-,-,-,606',-,-
82540,3829.0,14/15,Copa del Rey,Sporting de Gijón,1,1,"0,00",-,-,-,-,-,1,-,-,-,-,90',-,-
82541,3829.0,13/14,Promoción de ascenso a LaLiga ,Sporting de Gijón,2,1,"0,00",-,-,-,-,1,-,-,-,-,-,60',-,-
82542,3829.0,13/14,LaLiga2,Sporting de Gijón,32,30,"1,23",1,2,-,1,3,16,-,-,-,2.574',2.574',-,-
82543,3829.0,13/14,Copa del Rey,Sporting de Gijón,1,1,"0,00",-,-,-,1,-,-,-,-,-,-,43',-,-
82544,3829.0,12/13,LaLiga2,Sporting de Gijón,31,24,"1,29",1,1,-,3,8,11,1,-,-,1.754',1.754',-,-
82545,3829.0,12/13,Copa del Rey,Sporting de Gijón,3,2,"3,00",-,-,-,-,1,-,-,-,-,-,135',-,-
82546,3829.0,11/12,Segunda División B - Grupo I,Real Madrid Castilla,1,1,"3,00",-,-,-,1,-,-,-,-,-,-,16',-,-
82547,3829.0,10/11,LaLiga,Real Madrid CF,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82548,3830.0,16/17,LaLiga2,Elche CF,14,14,"1,29",2,1,-,1,5,3,1,-,1,533',1.065',-,-
82549,3830.0,16/17,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82550,3830.0,14/15,LaLiga2,Real Betis Balompié,16,15,"1,60",1,2,-,1,7,4,-,-,-,1.183',1.183',-,-
82551,3830.0,14/15,Copa del Rey,Real Betis Balompié,3,3,"2,00",1,-,-,-,1,-,-,-,-,262',262',-,-
82552,3830.0,13/14,LaLiga,Real Betis Balompié,29,23,"0,65",-,1,-,8,5,7,-,-,-,-,1.362',-,-
82553,3830.0,13/14,Copa del Rey,Real Betis Balompié,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82554,3830.0,13/14,Europa League,Real Betis Balompié,2,2,"3,00",1,-,-,1,-,-,-,-,-,110',110',-,-
82555,3830.0,12/13,LaLiga2,Real Murcia CF,34,34,"1,24",12,5,-,-,1,9,-,1,3,251',3.017',-,-
82556,3830.0,12/13,Copa del Rey,Real Murcia CF,1,1,"0,00",-,-,-,1,-,1,-,-,-,-,9',-,-
82557,3830.0,11/12,LaLiga,Real Betis Balompié,28,14,"1,29",-,-,-,10,4,2,-,-,-,-,378',-,-
82558,3830.0,11/12,Copa del Rey,Real Betis Balompié,1,1,"0,00",-,-,-,-,1,-,-,-,-,-,75',-,-
82559,3830.0,10/11,LaLiga,Villarreal CF,23,11,"1,73",-,-,-,8,2,-,-,-,-,-,356',-,-
82560,3830.0,10/11,Europa League,Villarreal CF,7,4,"2,25",-,-,-,2,1,-,-,-,-,-,181',-,-
82561,3830.0,10/11,Copa del Rey,Villarreal CF,5,3,"1,67",-,-,-,-,3,2,-,-,-,-,220',-,-
82562,3830.0,10/11,Europa League Qualifikation,Villarreal CF,1,1,"3,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82563,3830.0,09/10,LaLiga2,Villarreal CF B,37,37,"1,59",2,-,-,-,12,12,-,-,-,1.550',3.100',-,-
82564,3830.0,09/10,LaLiga,Villarreal CF,4,2,"1,50",-,-,-,-,1,-,-,-,-,-,165',-,-
82565,3830.0,09/10,Europa League,Villarreal CF,2,2,"0,50",-,-,-,2,-,-,-,-,-,-,43',-,-
82566,3830.0,08/09,LaLiga,Villarreal CF,2,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82567,3831.0,16/17,LaLiga2,Elche CF,22,15,"1,53",3,1,-,7,3,4,-,-,-,287',860',-,-
82568,3831.0,16/17,Copa del Rey,Elche CF,2,2,"1,50",1,-,-,-,-,-,-,-,-,210',210',-,-
82569,3831.0,15/16,LaLiga2,Elche CF,27,25,"1,08",2,-,-,7,11,8,1,-,-,689',1.378',-,-
82570,3831.0,15/16,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,1,-,-,-,-,-,60',-,-
82571,3831.0,14/15,LaLiga2,CD Lugo,17,14,"1,07",4,-,-,7,5,1,-,-,-,162',646',-,-
82572,3831.0,13/14,Promoción de ascenso a LaLiga ,Córdoba CF,2,2,"1,00",-,-,-,1,1,1,-,-,-,-,40',-,-
82573,3831.0,13/14,LaLiga2,Córdoba CF,27,22,"1,36",1,-,-,13,4,7,-,-,-,986',986',-,-
82574,3831.0,12/13,LaLiga2,Elche CF,33,26,"1,88",1,-,-,22,2,5,-,-,-,767',767',-,-
82575,3831.0,12/13,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,1,-,-,-,-,-,45',-,-
82576,3831.0,11/12,Copa del Rey,Real Oviedo,2,2,"0,00",-,-,-,-,2,-,-,-,-,-,150',-,-
82577,3831.0,11/12,Segunda División B - Grupo I,Real Oviedo,1,1,"3,00",-,-,-,1,-,1,-,-,-,-,60',-,-
82578,3831.0,10/11,Segunda División B - Grupo II,Real Oviedo,3,3,"2,33",-,-,-,1,1,2,-,-,-,-,185',-,-
