,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3862,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Suso Santana,Jesús Manuel Santana Abreu,10,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,146.0,"1,72m",derecho,31,02/03/1985,30.06.2018,Delantero - Extremo derecho,06/07/2012,FM&amp;C;,Santa Cruz de Tenerife  ,-
3863,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Omar Perdomo,José Omar Perdomo Machado,7,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,74m",derecho,23,03/07/1993,30.06.2018,Delantero - Extremo derecho,01/07/2015,promoesport bcn,Las Palmas de Gran Canaria  ,-
3864,tmssl.akamaized.net//bilder/spielerfotos/s_131275_6182_2012_1.jpg?lm=0,Choco Lozano,Anthony Rubén Lozano Colón,9,Honduras,//tmssl.akamaized.net//images/flagge/verysmall/66.png?lm=1396275478,800 miles € ,146.0,"1,81m",derecho,23,25/04/1993,30.06.2017,Delantero - Delantero centro,05/08/2015,-,Yoro  ,-
3865,tmssl.akamaized.net//bilder/spielerfotos/s_146519_3342_2014_02_19_1.jpg?lm=0,Haythem Jouini,هيثم الجويني,18,Túnez,//tmssl.akamaized.net//images/flagge/verysmall/173.png?lm=1396275477,400 miles € ,146.0,"1,92m",derecho,23,07/05/1993,30.06.2017,Delantero - Delantero centro,30/08/2016,c.u.p.a. international,Tunis  ,-
3866,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Munir,-,1,Marruecos,//tmssl.akamaized.net//images/flagge/verysmall/107.png?lm=1396275477,700 miles € ,147.0,"1,92m",-,27,10/05/1989,30.06.2018,Portero,01/07/2014,SPAIN SPORT INSURANCE 2011 SL,Melilla  ,-
3867,tmssl.akamaized.net//bilder/spielerfotos/s_118997_621_2010_2.jpg?lm=0,Aitor Fernández,Aitor Fernández Abarisketa,13,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,"1,82m",derecho,25,03/05/1991,30.06.2018,Portero,01/07/2016,-,Arrasate  ,-
3868,tmssl.akamaized.net//bilder/spielerfotos/s_63706_993_2012_1.jpg?lm=0,Mikel Saizar,Mikel Saizar Soroa,25,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,200 miles € ,147.0,"1,90m",-,34,18/01/1983,30.06.2017,Portero,30/11/2016,MRHfutbol,Ibarra  ,-
3869,tmssl.akamaized.net//bilder/spielerfotos/s_71994_2296_2012_1.jpg?lm=0,Francisco Regalón,Francisco Regalón Cerezo,5,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,147.0,"1,82m",derecho,29,19/02/1987,30.06.2017,Defensa - Defensa central,01/07/2012,MRHfutbol,Algallarín  ,-
3870,tmssl.akamaized.net//bilder/spielerfotos/s_89508_2448_2012_1.jpg?lm=0,Pedro Orfila,Pedro Orfila Artime,22,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,147.0,"1,75m",derecho,28,06/03/1988,30.06.2017,Defensa - Defensa central,03/07/2015,JPA Soccer,Luanco  ,-
3871,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Dani Calvo,Daniel Pedro Calvo Sanromán,15,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,200 miles € ,147.0,"1,80m",-,22,01/04/1994,30.06.2017,Defensa - Defensa central,01/07/2015,-,Huesca  ,-
3872,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Carlos Gutiérrez,Carlos Gutiérrez González,16,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,200 miles € ,147.0,"1,92m",derecho,25,04/11/1991,30.06.2017,Defensa - Defensa central,20/07/2016,EMART &amp; SOCCER,Las Palmas de Gran Canaria  ,-
3873,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Luis Valcarce,Luis Valcarce Vidal,14,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,600 miles € ,147.0,"1,75m",izquierdo,24,03/02/1993,30.06.2018,Defensa - Lateral izquierdo,01/07/2015,TRESGESPORT AD,Ponferrada  ,-
