,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
39146,5755.0,16/17,19/01/2017,Chievo Verona,Trapani,350 miles €,Préstamo
39147,5755.0,15/16,30/06/2016,Cittadella,Chievo Verona,350 miles €,Fin de préstamo
39148,5755.0,15/16,24/07/2015,Chievo U19,Cittadella,50 miles €,Préstamo
39149,5755.0,14/15,01/07/2014,Real de Banjul,Chievo U19,-,?
39150,5755.0,13/14,01/12/2013,Bakau Utd.,Real de Banjul,-,?
39151,5756.0,16/17,08/07/2016,AS Melfi,Trapani,150 miles €,Libre
39152,5756.0,15/16,16/08/2015,Agropoli,AS Melfi,100 miles €,?
39153,5756.0,14/15,01/01/2015,FC Südtirol,Agropoli,150 miles €,Libre
39154,5756.0,14/15,14/07/2014,Sorrento,FC Südtirol,100 miles €,Libre
39155,5756.0,13/14,31/07/2013,Siena U19,Sorrento,100 miles €,?
39156,5756.0,11/12,31/12/2011,Salerno,Siena U19,50 miles €,Fin de préstamo
39157,5756.0,11/12,01/07/2011,AC Siena Jugend,Salerno,-,Préstamo
39158,5757.0,16/17,30/01/2017,Novara,Trapani,400 miles €,Préstamo
39159,5757.0,16/17,29/01/2017,Reggiana,Novara,400 miles €,Fin de préstamo
39160,5757.0,16/17,15/07/2016,Novara,Reggiana,225 miles €,Préstamo
39161,5757.0,15/16,30/06/2016,Pavia,Novara,225 miles €,Fin de préstamo
39162,5757.0,15/16,07/01/2016,Novara,Pavia,200 miles €,Préstamo
39163,5757.0,14/15,30/06/2015,Lecce,Novara,250 miles €,Fin de préstamo
39164,5757.0,14/15,02/02/2015,Novara,Lecce,400 miles €,Préstamo
39165,5757.0,13/14,01/07/2013,Villanterio,Novara,100 miles €,?
39166,5757.0,12/13,30/06/2013,Novara U19,Villanterio,100 miles €,Fin de préstamo
39167,5757.0,12/13,21/08/2012,Villanterio,Novara U19,-,Préstamo
39168,5758.0,14/15,06/07/2014,Marcianise,Trapani,-,Libre
39169,5758.0,13/14,01/07/2013,Messina,Marcianise,-,?
39170,5758.0,12/13,01/07/2012,Valle Grecanica,Messina,-,?
39171,5758.0,11/12,01/07/2011,Ebolitana,Valle Grecanica,-,?
39172,5758.0,08/09,01/07/2008,Sanseverinese,Ebolitana,-,?
39173,5759.0,15/16,30/06/2016,Lecce,Trapani,450 miles €,Fin de préstamo
39174,5759.0,15/16,24/08/2015,Trapani,Lecce,800 miles €,Préstamo
39175,5759.0,14/15,02/02/2015,Frosinone,Trapani,400 miles €,?
39176,5759.0,12/13,15/01/2013,Grosseto,Frosinone,200 miles €,gratuito
39177,5759.0,11/12,01/01/2012,Triestina,Grosseto,275 miles €,?
39178,5759.0,11/12,01/08/2011,US Palermo,Triestina,250 miles €,?
39179,5759.0,10/11,30/06/2011,Crotone,US Palermo,250 miles €,Fin de préstamo
39180,5759.0,10/11,01/12/2010,US Palermo,Crotone,500 miles €,Préstamo
39181,5759.0,09/10,30/06/2010,Cittadella,US Palermo,600 miles €,Fin de préstamo
39182,5759.0,09/10,01/07/2009,US Palermo,Cittadella,-,Préstamo
39183,5759.0,08/09,30/06/2009,Ravenna,US Palermo,-,Fin de préstamo
39184,5759.0,08/09,01/01/2009,US Palermo,Ravenna,-,Préstamo
39185,5759.0,08/09,01/12/2008,Vicenza,US Palermo,-,Fin de préstamo
39186,5759.0,08/09,01/07/2008,US Palermo,Vicenza,-,Préstamo
39187,5759.0,07/08,30/06/2008,Sambenedettese,US Palermo,-,Fin de préstamo
39188,5759.0,07/08,01/08/2007,US Palermo,Sambenedettese,-,Préstamo
39189,5759.0,07/08,01/07/2007,Palermo U19,US Palermo,-,-
39190,5759.0,05/06,01/07/2005,GS Mazara,Palermo U19,-,?
39191,5760.0,16/17,01/07/2016,Trapani U19,Trapani,75 miles €,-
39192,5760.0,15/16,01/07/2015,Desconocido,Trapani U19,-,?
39193,5760.0,14/15,01/07/2014,Palermo Jugend,Desconocido,-,Libre
39194,5761.0,16/17,20/07/2016,Juventus,Latina Calcio,500 miles €,Préstamo
39195,5761.0,15/16,30/06/2016,AS Livorno,Juventus,500 miles €,Fin de préstamo
39196,5761.0,15/16,24/07/2015,Juventus,AS Livorno,"1,00 mill. €",Préstamo
39197,5761.0,14/15,30/06/2015,Modena FC,Juventus,"1,00 mill. €",Fin de préstamo
39198,5761.0,14/15,05/07/2014,Juventus,Modena FC,700 miles €,Préstamo
39199,5761.0,14/15,01/07/2014,Vicenza,Juventus,700 miles €,?
39200,5761.0,13/14,30/06/2014,Modena FC,Vicenza,700 miles €,Fin de préstamo
39201,5761.0,13/14,23/07/2013,Vicenza,Modena FC,400 miles €,Préstamo
39202,5761.0,11/12,01/01/2012,Juventus,Vicenza,500 miles €,"1,50 mill. €"
39203,5761.0,11/12,01/12/2011,Pescara,Juventus,350 miles €,Fin de préstamo
39204,5761.0,11/12,01/07/2011,Juventus,Pescara,350 miles €,Préstamo
39205,5761.0,10/11,30/06/2011,Viareggio,Juventus,350 miles €,Fin de préstamo
39206,5761.0,10/11,01/07/2010,Juventus U19,Viareggio,100 miles €,Préstamo
39207,5762.0,16/17,27/01/2017,AC Cesena,Latina Calcio,150 miles €,Préstamo
39208,5762.0,16/17,26/01/2017,Catanzaro,AC Cesena,150 miles €,Fin de préstamo
39209,5762.0,15/16,25/08/2015,AC Cesena,Catanzaro,100 miles €,Préstamo
39210,5762.0,14/15,30/06/2015,Bassano,AC Cesena,100 miles €,Fin de préstamo
39211,5762.0,14/15,15/07/2014,AC Cesena,Bassano,100 miles €,Préstamo
39212,5762.0,13/14,30/06/2014,Pergolettese,AC Cesena,100 miles €,Fin de préstamo
39213,5762.0,13/14,06/07/2013,AC Cesena,Pergolettese,100 miles €,Préstamo
39214,5762.0,12/13,30/06/2013,FC Südtirol,AC Cesena,100 miles €,Fin de préstamo
39215,5762.0,12/13,12/07/2012,AC Cesena,FC Südtirol,125 miles €,Préstamo
39216,5762.0,11/12,30/06/2012,B. a Buggiano,AC Cesena,125 miles €,Fin de préstamo
39217,5762.0,11/12,01/07/2011,Cesena U19,B. a Buggiano,75 miles €,Préstamo
39218,5763.0,16/17,31/01/2017,Hellas Verona,Latina Calcio,800 miles €,Préstamo
39219,5763.0,16/17,30/01/2017,Latina Calcio,Hellas Verona,800 miles €,400 miles €
39220,5763.0,14/15,11/07/2014,Parma,Latina Calcio,700 miles €,500 miles €
39221,5763.0,13/14,30/06/2014,Latina Calcio,Parma,700 miles €,Fin de préstamo
39222,5763.0,13/14,10/07/2013,Parma,Latina Calcio,400 miles €,Préstamo
39223,5763.0,13/14,01/07/2013,Pescara,Parma,400 miles €,?
39224,5763.0,12/13,30/06/2013,Ternana,Pescara,400 miles €,Fin de préstamo
39225,5763.0,12/13,30/08/2012,Pescara,Ternana,400 miles €,Préstamo
39226,5763.0,11/12,01/08/2011,Triestina,Pescara,450 miles €,?
39227,5763.0,10/11,01/07/2010,AS Roma,Triestina,600 miles €,?
39228,5763.0,09/10,30/06/2010,Triestina,AS Roma,600 miles €,Fin de préstamo
39229,5763.0,09/10,01/07/2009,Roma U19,Triestina,-,Préstamo
39230,5764.0,16/17,20/07/2016,Juventus,Latina Calcio,500 miles €,Préstamo
39231,5764.0,15/16,30/06/2016,Crotone,Juventus,500 miles €,Fin de préstamo
39232,5764.0,15/16,25/01/2016,Juventus,Crotone,400 miles €,Préstamo
39233,5764.0,15/16,24/01/2016,Como,Juventus,400 miles €,Fin de préstamo
39234,5764.0,15/16,28/07/2015,Juventus,Como,300 miles €,Préstamo
39235,5764.0,14/15,30/06/2015,Vicenza,Juventus,300 miles €,Fin de préstamo
39236,5764.0,14/15,01/09/2014,Juventus,Vicenza,50 miles €,Préstamo
39237,5764.0,12/13,01/07/2012,Juventus Cadete,Juventus U19,50 miles €,-
39238,5764.0,11/12,01/08/2011,Barcelona Cad.,Juventus Cadete,-,?
39239,5764.0,10/11,01/07/2010,Espanyol Juv.,Barcelona Cad.,-,?
39240,5765.0,11/12,01/01/2012,Grosseto,Latina Calcio,100 miles €,?
39241,5765.0,10/11,06/07/2010,AC Milan,Grosseto,-,1 miles €
39242,5765.0,09/10,30/06/2010,AS Gubbio,AC Milan,-,Fin de préstamo
39243,5765.0,09/10,01/08/2009,AC Milan,AS Gubbio,-,Préstamo
39244,5765.0,09/10,01/07/2009,Milan U19,AC Milan,-,-
39245,5765.0,08/09,30/06/2009,AS Pizzighettone,Milan U19,-,Fin de préstamo
39246,5765.0,08/09,01/02/2009,Milan U19,AS Pizzighettone,-,Préstamo
39247,5765.0,08/09,31/12/2008,Monza,Milan U19,-,Fin de préstamo
39248,5765.0,08/09,01/08/2008,Milan U19,Monza,-,Préstamo
