,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
14136,2140.0,12/13,05/05/2013,Blackburn,Manchester City,"2,00 mill. €",Fin de préstamo
14137,2140.0,12/13,15/02/2013,Manchester City,Blackburn,-,Préstamo
14138,2140.0,11/12,29/04/2012,FC Portsmouth,Manchester City,-,Fin de préstamo
14139,2140.0,11/12,22/03/2012,Manchester City,FC Portsmouth,-,Préstamo
14140,2140.0,11/12,01/01/2012,Man City U18,Manchester City,-,-
14141,2140.0,11/12,01/07/2011,Feyenoord U17,Man City U18,-,450 miles €
14142,2141.0,15/16,30/06/2016,Granada CF,Marseille,"2,00 mill. €",Fin de préstamo
14143,2141.0,15/16,31/08/2015,Marseille,Granada CF,"7,50 mill. €",Préstamo
14144,2141.0,14/15,30/06/2015,São Paulo,Marseille,"7,50 mill. €",Fin de préstamo
14145,2141.0,14/15,06/02/2015,Marseille,São Paulo,"7,50 mill. €",Préstamo
14146,2141.0,14/15,01/09/2014,Botafogo,Marseille,"8,00 mill. €","5,00 mill. €"
14147,2141.0,11/12,01/05/2012,Botafogo U17,Botafogo,-,-
14148,2142.0,16/17,07/07/2016,Dinamo Moskva,Marseille,"4,50 mill. âŹ","1,20 mill. âŹ"
14149,2142.0,14/15,29/08/2014,Zenit S-Pb,Dinamo Moskva,"7,50 mill. âŹ",?
14150,2142.0,07/08,12/02/2008,Ĺ˝ilina,Zenit S-Pb,-,"3,20 mill. âŹ"
14151,2142.0,05/06,30/06/2006,ZlatĂŠ Moravce,Ĺ˝ilina,-,Fin de prĂŠstamo
14152,2142.0,05/06,01/01/2006,Ĺ˝ilina,ZlatĂŠ Moravce,-,PrĂŠstamo
14153,2142.0,04/05,01/07/2004,Zilina U19,Ĺ˝ilina,-,-
14154,2143.0,15/16,31/08/2015,FC Porto,Marseille,"3,50 mill. €","1,50 mill. €"
14155,2143.0,14/15,30/06/2015,RSC Anderlecht,FC Porto,"3,50 mill. €",Fin de préstamo
14156,2143.0,14/15,02/02/2015,FC Porto,RSC Anderlecht,"7,00 mill. €",Tarifa de préstamo:700 miles €
14157,2143.0,13/14,30/06/2014,Inter,FC Porto,"7,00 mill. €",Fin de préstamo
14158,2143.0,13/14,10/08/2013,FC Porto,Inter,"6,50 mill. €",Tarifa de préstamo:500 miles €
14159,2143.0,12/13,30/06/2013,SSC Napoli,FC Porto,"6,50 mill. €",Fin de préstamo
14160,2143.0,12/13,31/01/2013,FC Porto,SSC Napoli,"10,00 mill. €","Tarifa de préstamo:1,00 mill. €"
14161,2143.0,08/09,01/07/2008,Belenenses,FC Porto,"2,00 mill. €",950 miles €
14162,2143.0,04/05,01/07/2004,Belenenses U19,Belenenses,-,-
14163,2144.0,16/17,31/08/2016,Al-Arabi,Marseille,500 miles €,Libre
14164,2144.0,15/16,30/06/2016,Charlton,Al-Arabi,500 miles €,Fin de préstamo
