,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
2910,tmssl.akamaized.net//bilder/spielerfotos/s_60096_2481_2012_1.jpg?lm=0,Miral Samardzic,Miral Samardžič,28,Eslovenia,//tmssl.akamaized.net//images/flagge/verysmall/155.png?lm=1396275477,"1,00 mill. € ",110.0,"1,87m",derecho,29,17/02/1987,30.06.2019,Defensa - Defensa central,04/01/2017,athletes first,Jesenice  ,-
2911,tmssl.akamaized.net//images/portrait/header/49733-1476046720.png?lm=1476046747,Serdar Kesimal,-,53,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,110.0,"1,86m",derecho,28,24/01/1989,30.06.2018,Defensa - Defensa central,01/07/2016,Coach-Sport-Management,Wuppertal  ,adidas
2912,tmssl.akamaized.net//images/portrait/header/44989-1471430881.JPG?lm=1471430898,Orhan Tasdelen,Orhan Taşdelen,15,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,350 miles € ,110.0,"1,85m",izquierdo,30,06/02/1987,30.06.2017,Defensa - Defensa central,19/01/2015,Sezer Bravo,Gaziantep  ,-
2913,tmssl.akamaized.net//images/portrait/header/117586-1476046650.png?lm=1476046688,Ömer Bayram,-,19,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"2,50 mill. € ",110.0,"1,75m",izquierdo,25,27/07/1991,30.06.2019,Defensa - Lateral izquierdo,01/07/2016,TDS SPORTS,Breda  ,-
2914,tmssl.akamaized.net//images/portrait/header/53555-1471430760.JPG?lm=1471430778,Kadir Keles,Kadir Keleş,89,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,750 miles € ,110.0,"1,74m",izquierdo,29,01/01/1988,30.06.2017,Defensa - Lateral izquierdo,07/07/2015,Sezer Bravo,Trabzon  ,-
2915,tmssl.akamaized.net//images/portrait/header/55524-1471430834.JPG?lm=1471430848,Alper Uludag,Alper Uludağ,25,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,110.0,"1,80m",izquierdo,26,11/12/1990,30.06.2018,Defensa - Lateral izquierdo,30/01/2016,Kadir Özdogan,Heusden-Zolder  ,-
2916,tmssl.akamaized.net//images/portrait/header/59248-1476046424.png?lm=1476046451,Miguel Lopes,Hugo Miguel Almeida Costa Lopes,13,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,80 mill. € ",110.0,"1,83m",derecho,30,19/12/1986,30.06.2017,Defensa - Lateral derecho,01/07/2016,Sbsfoot,Vila Nova de Famalicão  ,-
2917,tmssl.akamaized.net//images/portrait/header/118841-1471430666.JPG?lm=1471430685,Tolga Ünlü,-,14,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,700 miles € ,110.0,"1,80m",derecho,27,10/09/1989,30.06.2017,Defensa - Lateral derecho,02/02/2015,SF Player Consulting,Erlenbach am Main  ,-
2918,tmssl.akamaized.net//images/portrait/header/88239-1446631777.jpg?lm=1446631788,Enoch Kofi Adu,-,18,Ghana,//tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1396275450,"1,20 mill. € ",110.0,"1,80m",derecho,26,14/09/1990,30.06.2020,Medio campo - Pivote,04/01/2017,Signit Group,Kumasi  ,-
2919,tmssl.akamaized.net//images/portrait/header/83368-1476046665.png?lm=1476046699,Abdoul Sissoko,Abdoulwahid Sissoko,20,Malí,//tmssl.akamaized.net//images/flagge/verysmall/105.png?lm=1396275477,"1,10 mill. € ",110.0,"1,83m",izquierdo,26,20/03/1990,30.06.2019,Medio campo - Pivote,10/08/2016,GM FOOT,Troyes  ,-
2920,tmssl.akamaized.net//images/portrait/header/13862-1471438339.JPG?lm=1471438367,Custódio,-,27,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,600 miles € ,110.0,"1,81m",derecho,33,24/05/1983,30.06.2017,Medio campo - Pivote,18/01/2015,Sin agente,Guimarães  ,-
2921,tmssl.akamaized.net//images/portrait/header/76324-1471438630.JPG?lm=1471438765,Aykut Ceviker,Aykut Çeviker,6,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,500 miles € ,110.0,"1,75m",derecho,27,03/01/1990,30.06.2018,Medio campo - Pivote,23/07/2015,LifeFootball Sportmanagement,Ankara  ,-
2922,tmssl.akamaized.net//images/portrait/header/85291-1471438253.JPG?lm=1471438277,Soner Aydogdu,Soner Aydoğdu,10,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,30 mill. € ",110.0,"1,80m",izquierdo,26,05/01/1991,30.06.2018,Medio campo - Medio centro,29/01/2016,Haluk Canatar,Ankara  ,-
2923,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Hasan Ali Adigüzel,Hasan Ali Adıgüzel,16,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,50 miles € ,110.0,-,derecho,16,03/04/2000,30.06.2019,Medio campo - Medio centro,31/10/2016,-,Manisa  ,-
2924,tmssl.akamaized.net//images/portrait/header/52006-1471438301.JPG?lm=1471438313,Onur Ayik,Onur Ayık,11,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,00 mill. € ",110.0,"1,83m",ambidiestro,27,28/01/1990,30.06.2018,Medio campo - Interior derecho,14/07/2015,Miembro de su familia,Walsrode  ,-
2925,tmssl.akamaized.net//images/portrait/header/8491-1442483442.jpeg?lm=1442483471,Olcan Adin,Olcan Adın,29,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",110.0,"1,76m",izquierdo,31,30/09/1985,30.06.2018,Medio campo - Interior izquierdo,04/01/2017,F-F SPORT,Balikesir  ,-
2926,tmssl.akamaized.net//images/portrait/header/45004-1441359334.jpg?lm=1441359372,Özer Hurmaci,Özer Hurmacı,5,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",110.0,"1,75m",derecho,30,20/11/1986,30.06.2019,Medio campo - Medio centro ofensivo,31/08/2016,Miembro de su familia,Kassel  ,-
2927,tmssl.akamaized.net//bilder/spielerfotos/s_27292_366_2013_10_17_1.jpg?lm=0,Daniel Larsson,-,12,Suecia,//tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1396275478,"1,60 mill. € ",110.0,"1,75m",derecho,30,25/01/1987,30.06.2019,Delantero - Extremo izquierdo,22/12/2016,Sin agente,Göteborg  ,-
2928,tmssl.akamaized.net//images/portrait/header/72237-1476629110.jpg?lm=1476629129,Mervan Celik,Mervan Çelik,90,Suecia,//tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1396275478,800 miles € ,110.0,"1,78m",derecho,26,26/05/1990,30.06.2017,Delantero - Extremo izquierdo,17/08/2015,HCM Sport Agency,Göteborg  ,-
2929,tmssl.akamaized.net//images/portrait/header/9413-1471443886.JPG?lm=1471443906,Ricardo Vaz Tê,Ricardo Jorge Vaz Tê,9,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,00 mill. € ",110.0,"1,88m",derecho,30,01/10/1986,30.06.2017,Delantero - Extremo derecho,01/02/2016,Pedro Restani Romão,Lisboa  ,-
2930,tmssl.akamaized.net//images/portrait/header/99047-1474387722.jpg?lm=1474387739,Sokol Cikalleshi,Sokol Çikalleshi,37,Albania,//tmssl.akamaized.net//images/flagge/verysmall/3.png?lm=1396275478,"1,80 mill. € ",110.0,"1,85m",derecho,26,27/07/1990,30.06.2017,Delantero - Delantero centro,31/01/2017,Emre Gümüsdograyan,Kavajë  ,-
2931,tmssl.akamaized.net//images/portrait/header/67570-1471443950.JPG?lm=1471443963,Mugdat Celik,Muğdat Çelik,7,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,700 miles € ,110.0,"1,80m",derecho,27,03/01/1990,30.06.2018,Delantero - Delantero centro,27/01/2016,-,Mersin  ,-
