,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
4456,tmssl.akamaized.net//images/portrait/header/52721-1469696519.jpg?lm=1469696560,Clayton Donaldson,Clayton Andrew Donaldson,9,Jamaica,//tmssl.akamaized.net//images/flagge/verysmall/76.png?lm=1396275478,450 miles € ,169.0,"1,85m",derecho,33,07/02/1984,30.06.2018,Delantero - Delantero centro,01/07/2014,Trafford Sports Ltd,Bradford  ,-
4457,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Jack Storer,Jack Frederick Wendell Storer,38,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,100 miles € ,169.0,"1,85m",-,19,02/01/1998,30.06.2018,Delantero - Delantero centro,01/07/2016,Full Contact,-,-
4458,tmssl.akamaized.net//images/portrait/header/136401-1447756425.jpg?lm=1447756476,Daniel Bentley,Daniel Ian Bentley,1,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,500 miles € ,170.0,"1,93m",-,23,13/07/1993,30.06.2020,Portero,01/07/2016,-,Basildon  ,-
4459,tmssl.akamaized.net//bilder/spielerfotos/s_209291_1148_2013_09_24_1.jpg?lm=0,Jack Bonham,Jack Elliott Bonham,16,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,100 miles € ,170.0,"1,92m",derecho,23,14/09/1993,30.06.2018,Portero,01/07/2013,-,Stevenage  ,-
4460,tmssl.akamaized.net//images/portrait/header/56354-1418856077.jpg?lm=1433144752,Andreas Bjelland,-,5,Dinamarca,//tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1396275477,"2,50 mill. € ",170.0,"1,88m",izquierdo,28,11/07/1988,30.06.2018,Defensa - Defensa central,02/07/2015,people in sport,Fredensborg  ,-
4461,tmssl.akamaized.net//bilder/spielerfotos/s_120504_1148_2013_09_23_1.jpg?lm=0,Harlee Dean,Harlee James Dean,6,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,00 mill. € ",170.0,"1,91m",derecho,25,26/07/1991,30.06.2018,Defensa - Defensa central,01/07/2012,-,Basingstoke  ,-
4462,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,John Egan,-,14,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,500 miles € ,170.0,"1,85m",derecho,24,20/10/1992,30.06.2019,Defensa - Defensa central,01/07/2016,-,Cork  ,-
4463,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Yoann Barbet,-,29,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,400 miles € ,170.0,"1,87m",izquierdo,23,10/05/1993,30.06.2019,Defensa - Defensa central,01/07/2015,Bernard Collignon,Talence  ,-
4464,tmssl.akamaized.net//images/portrait/header/339556-1448458407.jpg?lm=1448458450,Rico Henry,-,22,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,25 mill. € ",170.0,"1,70m",izquierdo,19,08/07/1997,30.06.2021,Defensa - Lateral izquierdo,31/08/2016,-,-,-
4465,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Tom Field,-,30,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477, ,170.0,"1,77m",-,19,14/03/1997,30.06.2020,Defensa - Lateral izquierdo,01/07/2016,-,-,-
4466,tmssl.akamaized.net//bilder/spielerfotos/s_156618_1095_2012_1.jpg?lm=0,Maxime Colin,-,2,Francia,//tmssl.akamaized.net//images/flagge/verysmall/50.png?lm=1396275450,"1,50 mill. € ",170.0,"1,80m",derecho,25,15/11/1991,30.06.2019,Defensa - Lateral derecho,14/08/2015,Gallea Gestion S.A,Arras  ,-
4467,tmssl.akamaized.net//bilder/spielerfotos/s_15814_1148_2013_09_24_1.jpg?lm=0,Alan McCormack,-,12,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,350 miles € ,170.0,"1,80m",derecho,33,10/01/1984,30.06.2017,Defensa - Lateral derecho,01/07/2013,World in Motion,Dublin  ,-
4468,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Josh Clarke,Joshua Joseph Jason Ishmel Clarke,20,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,150 miles € ,170.0,"1,73m",derecho,22,05/07/1994,30.06.2018,Defensa - Lateral derecho,01/07/2013,-,London  ,-
4469,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Ryan Woods,Ryan Michael Woods,15,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,50 mill. € ",170.0,"1,73m",derecho,23,13/12/1993,30.06.2020,Medio campo - Pivote,01/09/2015,Crown Football Ltd,Norton Canes  ,-
4470,tmssl.akamaized.net//images/portrait/header/122721-1483432770.jpg?lm=1483432797,Nico Yennaris,Nicholas Harry Yennaris,8,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,350 miles € ,170.0,"1,71m",derecho,23,24/05/1993,30.06.2019,Medio campo - Pivote,27/01/2014,-,London  ,-
4471,tmssl.akamaized.net//bilder/spielerfotos/s_42249_164_2013_09_26_1.jpg?lm=0,Alan Judge,Alan Christopher Judge,18,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,"2,50 mill. € ",170.0,"1,69m",derecho,28,11/11/1988,30.06.2017,Medio campo - Medio centro,01/07/2014,-,Dublin  ,-
4472,tmssl.akamaized.net//bilder/spielerfotos/s_128905_631_2012_1.jpg?lm=0,Josh McEachran,Joshua Mark McEachran,10,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,25 mill. € ",170.0,"1,78m",izquierdo,23,01/03/1993,30.06.2019,Medio campo - Medio centro,10/07/2015,Key Sports Managment Ltd.,Oxford  ,-
4473,tmssl.akamaized.net//images/portrait/header/81694-1426258600.jpg?lm=1433144980,Konstantin Kerschbaumer,-,17,Austria,//tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1396275477,500 miles € ,170.0,"1,80m",derecho,24,01/07/1992,30.06.2019,Medio campo - Medio centro,01/07/2015,Stars &amp; Friends,Tulln  ,adidas
4474,tmssl.akamaized.net//bilder/spielerfotos/s_132208_124_2014_03_12_1.jpg?lm=0,Lewis MacLeod,-,4,Escocia,//tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1396275477,750 miles € ,170.0,"1,76m",-,22,16/06/1994,30.06.2019,Medio campo - Interior izquierdo,03/01/2015,-,Wishaw  ,-
4475,tmssl.akamaized.net//images/portrait/header/251845-1418815872.jpg?lm=1433144117,Sergi Canós,Sergi Canós Tenés,-,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"2,50 mill. € ",170.0,"1,77m",derecho,20,02/02/1997,30.06.2021,Delantero - Extremo derecho,31/01/2017,Juanma López y Gelu Rodríguez,Nules  ,-
4476,tmssl.akamaized.net//bilder/spielerfotos/s_176591_940_2012_1.jpg?lm=0,Jota,-,23,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"1,20 mill. € ",170.0,"1,80m",izquierdo,25,16/06/1991,30.06.2018,Delantero - Extremo derecho,13/08/2014,Stellar Football Ltd,Puebla del Caramiñal  ,-
4477,tmssl.akamaized.net//images/portrait/header/124873-1485451230.jpg?lm=1485451244,Florian Jozefzoon,Florian Marc Jozefzoon,7,Países Bajos,//tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1396275478,"1,00 mill. € ",170.0,"1,73m",derecho,26,09/02/1991,30.06.2017,Delantero - Extremo derecho,27/01/2017,Murray Sports Management &amp; Consultancy,Saint-Laurent-du-Maroni  ,-
4478,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Romaine Sawyers,Romaine Theodore Sawyers,19,San Cristóbal y Nieves,//tmssl.akamaized.net//images/flagge/verysmall/225.png?lm=1396275450,500 miles € ,170.0,"1,75m",derecho,25,02/11/1991,30.06.2020,Delantero - Media punta,01/07/2016,-,Birmingham  ,-
4479,tmssl.akamaized.net//images/portrait/header/62680-1419260575.jpg?lm=1433144840,Lasse Vibe,-,21,Dinamarca,//tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1396275477,"2,00 mill. € ",170.0,"1,81m",-,29,22/02/1987,30.06.2018,Delantero - Delantero centro,24/07/2015,Boutique Transfers and Management ApS,Tranbjerg  ,-
4480,tmssl.akamaized.net//images/portrait/header/119037-1408099715.jpg?lm=1433143504,Philipp Hofmann,-,11,Alemania,//tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1396275477,"1,25 mill. € ",170.0,"1,95m",izquierdo,23,30/03/1993,30.06.2018,Delantero - Delantero centro,23/07/2015,arena11 sports group,Arnsberg  ,Nike
4481,tmssl.akamaized.net//bilder/spielerfotos/s_42055_677_2013_10_18_1.jpg?lm=0,Dean Gerken,Dean Jeffrey Gerken,1,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,500 miles € ,171.0,"1,83m",derecho,31,22/05/1985,30.06.2017,Portero,12/07/2013,Volenti Ltd,Rochford  ,-
4482,tmssl.akamaized.net//bilder/spielerfotos/s_24496_1045_2013_09_23_1.jpg?lm=0,Bartosz Bialkowski,Bartosz Marek Białkowski,33,Polonia,//tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1396275477,400 miles € ,171.0,"1,94m",derecho,29,06/07/1987,30.06.2018,Portero,15/07/2014,"Kolakowski, Jaroslaw",Braniewo  ,-
4483,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Michael Crowe,Michael Thomas Tallaksen Crowe,38,Gales,//tmssl.akamaized.net//images/flagge/verysmall/191.png?lm=1396275486,- ,171.0,-,-,21,13/11/1995,30.06.2017,Portero,05/09/2013,-,London  ,-
4484,tmssl.akamaized.net//images/portrait/header/54381-1469719689.jpg?lm=1469719705,Tommy Smith,Thomas Jefferson Smith,5,Nueva Zelanda,//tmssl.akamaized.net//images/flagge/verysmall/120.png?lm=1396275489,"1,50 mill. € ",171.0,"1,87m",izquierdo,26,31/03/1990,30.06.2019,Defensa - Defensa central,01/07/2007,-,Macclesfield  ,-
4485,tmssl.akamaized.net//images/portrait/header/17273-1476358504.jpg?lm=1476358504,Steven Taylor,Steven Vincent Taylor,2,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,25 mill. € ",171.0,"1,86m",derecho,31,23/01/1986,30.06.2017,Defensa - Defensa central,30/01/2017,New Star Sport Promotion,London  ,Nike
4486,tmssl.akamaized.net//bilder/spielerfotos/s_36602_543_2013_03_05_1.jpg?lm=0,Christophe Berra,Christophe Didier Berra,6,Escocia,//tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1396275477,"1,00 mill. € ",171.0,"1,90m",izquierdo,32,31/01/1985,30.06.2017,Defensa - Defensa central,20/07/2013,Base Soccer Agency Ltd,Edinburgh  ,-
4487,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Adam Webster,Adam Harry Webster,15,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,750 miles € ,171.0,"1,90m",derecho,22,04/01/1995,30.06.2019,Defensa - Defensa central,01/07/2016,-,West Wittering  ,-
4488,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Paul Digby,Paul Andrew Digby,14,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,150 miles € ,171.0,"1,93m",-,22,02/02/1995,30.06.2017,Defensa - Defensa central,01/07/2016,Distinct Football,Sheffield  ,-
4489,tmssl.akamaized.net//bilder/spielerfotos/s_144904_3426_2011_1.jpg?lm=0,Jonas Knudsen,Jonas Hjort Knudsen,3,Dinamarca,//tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1396275477,750 miles € ,171.0,"1,85m",izquierdo,24,16/09/1992,30.06.2018,Defensa - Lateral izquierdo,31/07/2015,Boutique Transfers and Management ApS,-,-
