,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
1203,tmssl.akamaized.net//images/portrait/header/82743-1449059063.jpg?lm=1449059120,Alberto Pomini,-,1,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,100 miles € ,48.0,"1,85m",derecho,35,17/03/1981,30.06.2017,Portero,01/07/2004,Danilo Caravello,Isola della Scala  ,-
1204,tmssl.akamaized.net//images/portrait/header/131075-1449059174.jpg?lm=1449059215,Francesco Acerbi,-,15,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"10,00 mill. € ",48.0,"1,92m",izquierdo,29,10/02/1988,30.06.2018,Defensa - Defensa central,08/07/2013,Football Capital,Vizzolo Predabissi  ,Nike
1205,tmssl.akamaized.net//images/portrait/header/231378-1447857861.jpg?lm=1447857902,Timo Letschert,-,55,Países Bajos,//tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1396275478,"3,00 mill. € ",48.0,"1,88m",derecho,23,25/05/1993,30.06.2020,Defensa - Defensa central,03/08/2016,ESA Soccer,Purmerend  ,-
1206,tmssl.akamaized.net//images/portrait/header/146743-1449059253.jpg?lm=1449059298,Luca Antei,-,5,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"1,40 mill. € ",48.0,"1,86m",derecho,24,19/04/1992,30.06.2018,Defensa - Defensa central,01/07/2013,Danilo Caravello,Roma  ,-
1207,tmssl.akamaized.net//images/portrait/header/5858-1449059381.jpg?lm=1449059399,Paolo Cannavaro,-,28,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,400 miles € ,48.0,"1,85m",derecho,35,26/06/1981,30.06.2017,Defensa - Defensa central,01/07/2014,"Fedele, Gaetano",Napoli  ,Nike
1208,tmssl.akamaized.net//images/portrait/header/21763-1449059208.jpg?lm=1449059222,Federico Peluso,-,13,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"1,00 mill. € ",48.0,"1,88m",izquierdo,33,20/01/1984,30.06.2017,Defensa - Lateral izquierdo,03/07/2014,AGB Sport Management,Roma  ,-
1209,tmssl.akamaized.net//images/portrait/header/240244-1449060149.jpg?lm=1449060168,Cristian Dell'Orco,-,39,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,600 miles € ,48.0,"1,83m",izquierdo,23,10/02/1994,30.06.2020,Defensa - Lateral izquierdo,08/07/2015,-,Sant'Angelo Lodigiano  ,Lotto
1210,tmssl.akamaized.net//images/portrait/header/298975-1448361421.jpg?lm=1448361434,Pol Lirola,Pol Mikel Lirola Kosok,20,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,"2,50 mill. € ",48.0,"1,83m",derecho,19,13/08/1997,30.06.2018,Defensa - Lateral derecho,28/07/2016,-,Mollet del Valles  ,Nike
1211,tmssl.akamaized.net//images/portrait/header/337716-1486640024.jpg?lm=1486640038,Claud Adjapong,-,98,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,700 miles € ,48.0,"1,80m",derecho,18,06/05/1998,-,Defensa - Lateral derecho,01/08/2016,-,Modena  ,-
1212,tmssl.akamaized.net//images/portrait/header/57643-1449059533.jpg?lm=1449059548,Marcello Gazzola,-,23,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,400 miles € ,48.0,"1,83m",derecho,31,03/04/1985,30.06.2017,Defensa - Lateral derecho,01/01/2012,-,Borgotaro  ,-
