,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
6962,1073.0,05/06,01/01/2006,Legia Jugend,FC Arsenal U18,-,50 miles €
6963,1073.0,04/05,01/07/2004,Agrykola Warszawa,Legia Jugend,-,-
6964,1074.0,16/17,06/07/2016,Internacional,AS Roma,"7,00 mill. €","8,00 mill. €"
6965,1074.0,12/13,01/01/2013,Sport Club Internacional B,Internacional,150 miles €,-
6966,1074.0,11/12,01/01/2012,Inter U20,Sport Club Internacional B,-,-
6967,1075.0,10/11,01/07/2010,Dinamo Bucarest,AS Roma,"2,00 mill. €",800 miles €
6968,1075.0,09/10,30/06/2010,AS Roma,Dinamo Bucarest,"2,00 mill. €",Fin de préstamo
6969,1075.0,09/10,01/08/2009,Dinamo Bucarest,AS Roma,"3,00 mill. €",Préstamo
6970,1075.0,06/07,01/01/2007,Fiorentina,Dinamo Bucarest,"1,50 mill. €","1,10 mill. €"
6971,1075.0,05/06,01/01/2006,AFC Ajax,Fiorentina,"1,20 mill. €","1,50 mill. €"
6972,1075.0,01/02,30/06/2002,Dinamo Bucarest,AFC Ajax,-,Fin de préstamo
6973,1075.0,01/02,01/01/2002,AFC Ajax,Dinamo Bucarest,-,Préstamo
6974,1075.0,99/00,01/01/2000,Rapid Bucureşti,AFC Ajax,-,"3,00 mill. €"
6975,1075.0,97/98,01/08/1997,Corvinul Hunedoara,Rapid Bucureşti,-,?
6976,1075.0,97/98,01/07/1997,eigene Jugend,Corvinul Hunedoara,-,-
6977,1076.0,14/15,26/08/2014,Olympiacos FC,AS Roma,"6,00 mill. €","13,00 mill. €"
6978,1076.0,12/13,01/07/2012,AEK Atenas,Olympiacos FC,"2,00 mill. €",Libre
6979,1076.0,09/10,01/07/2009,Thrasyvoulos,AEK Atenas,100 miles €,50 miles €
6980,1076.0,08/09,01/01/2009,Thrasyvoulos U20,Thrasyvoulos,-,-
6981,1077.0,16/17,01/07/2016,VfB Stuttgart,AS Roma,"12,00 mill. €","9,00 mill. €"
6982,1077.0,15/16,30/06/2016,AS Roma,VfB Stuttgart,"12,00 mill. €",Fin de préstamo
6983,1077.0,15/16,19/08/2015,VfB Stuttgart,AS Roma,"10,00 mill. €","Tarifa de préstamo:4,00 mill. €"
6984,1077.0,12/13,01/07/2012,Stuttgart II,VfB Stuttgart,500 miles €,-
6985,1077.0,11/12,01/07/2011,VfB Stuttg. U19,Stuttgart II,-,-
6986,1077.0,10/11,01/02/2011,B. Dortmund U19,VfB Stuttg. U19,-,Libre
6987,1077.0,10/11,01/07/2010,B. Dortmund U17,B. Dortmund U19,-,-
6988,1077.0,08/09,01/07/2008,Zehlendorf Jgd.,B. Dortmund U17,-,Libre
6989,1077.0,05/06,01/07/2005,Desconocido,Zehlendorf Jgd.,-,Libre
6990,1077.0,04/05,01/07/2004,Tasmania Jgd.,Desconocido,-,Libre
6991,1077.0,02/03,01/07/2002,Neukölln Jgd.,Tasmania Jgd.,-,Libre
6992,1078.0,16/17,14/07/2016,Inter de Milán,AS Roma,"9,00 mill. €","Tarifa de préstamo:2,00 mill. €"
6993,1078.0,11/12,30/01/2012,Internacional,Inter,"3,00 mill. €","3,80 mill. €"
6994,1078.0,09/10,01/01/2010,Sport Club Internacional B,Internacional,-,-
6995,1079.0,16/17,03/08/2016,Tottenham,AS Roma,"5,00 mill. €","Tarifa de préstamo:1,20 mill. €"
6996,1079.0,15/16,30/06/2016,Sevilla FC,Tottenham,"8,00 mill. €",Fin de préstamo
6997,1079.0,15/16,01/02/2016,Tottenham,Sevilla FC,"8,00 mill. €",Préstamo
6998,1079.0,14/15,26/08/2014,Sevilla FC,Tottenham,"8,00 mill. €","10,00 mill. €"
6999,1079.0,06/07,01/01/2007,Ferro Carril,Sevilla FC,-,800 miles €
7000,1079.0,05/06,01/07/2005,Oeste B,Ferro Carril,-,-
7001,1080.0,16/17,08/08/2016,FC Barcelona,AS Roma,"4,00 mill. €",Préstamo
7002,1080.0,14/15,09/08/2014,FC Arsenal,FC Barcelona,"15,00 mill. €","19,00 mill. €"
7003,1080.0,09/10,01/07/2009,AFC Ajax,FC Arsenal,"6,00 mill. €","12,00 mill. €"
7004,1080.0,04/05,30/06/2005,RKC Waalwijk,AFC Ajax,250 miles €,Fin de préstamo
7005,1080.0,04/05,01/07/2004,AFC Ajax,RKC Waalwijk,-,Préstamo
7006,1080.0,03/04,01/01/2004,Beerschot U19,AFC Ajax,-,?
7007,1081.0,16/17,08/07/2016,FC Empoli,AS Roma,"6,00 mill. €","Tarifa de préstamo:3,00 mill. €"
7008,1081.0,14/15,01/07/2014,Parma,FC Empoli,900 miles €,Libre
