,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3202,tmssl.akamaized.net//images/portrait/header/52322-1484321967.jpg?lm=1484321979,Bruno Teles,Bruno Martins Teles,13,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",121.0,"1,83m",izquierdo,30,01/05/1986,30.06.2018,Defensa - Lateral izquierdo,13/01/2017,macospo,Alvorada  ,-
3203,tmssl.akamaized.net//images/portrait/header/418424-1478771598.jpg?lm=1478771614,Tiago André,Tiago André Araújo Rodrigues,16,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,75 miles € ,121.0,-,derecho,20,18/01/1997,30.06.2021,Defensa - Lateral izquierdo,01/07/2016,-,Vila do Conde  ,-
3204,tmssl.akamaized.net//images/portrait/header/75116-1478771542.jpg?lm=1478771553,Lionn,José Lionn Barbosa de Lucena,12,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",121.0,"1,84m",derecho,28,29/01/1989,30.06.2018,Defensa - Lateral derecho,10/07/2013,SportGlobal &amp; Intermediation,Fortaleza  ,-
3205,tmssl.akamaized.net//images/portrait/header/24700-1478771586.jpg?lm=1478771605,Pedrinho,Pedro Miguel da Silva Rocha,26,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,400 miles € ,121.0,"1,77m",derecho,31,06/03/1985,30.06.2017,Defensa - Lateral derecho,01/07/2015,FOOT EXPANDE,Vila do Conde  ,-
3206,tmssl.akamaized.net//images/portrait/header/315970-1478771765.jpg?lm=1478771777,Nadjack,Eliseu Mendja Nadjack Soares Cassamá,2,Guinea-Bissau,//tmssl.akamaized.net//images/flagge/verysmall/60.png?lm=1396275478,250 miles € ,121.0,"1,79m",derecho,23,06/02/1994,30.06.2021,Defensa - Lateral derecho,19/07/2016,-,Bissau  ,-
3207,tmssl.akamaized.net//images/portrait/header/75296-1478085458.jpg?lm=1478085475,Radosav Petrovic,Радосав Петровић,-,Serbia,//tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1396275486,"2,00 mill. € ",121.0,"1,93m",derecho,27,08/03/1989,30.06.2017,Medio campo - Pivote,31/01/2017,More than Sport GmbH,Ub  ,-
3208,tmssl.akamaized.net//images/portrait/header/262608-1436555581.jpg?lm=1436555613,Adama Traoré,-,-,Malí,//tmssl.akamaized.net//images/flagge/verysmall/105.png?lm=1396275477,"5,00 mill. € ",121.0,"1,78m",izquierdo,21,28/06/1995,30.06.2017,Medio campo - Medio centro,31/01/2017,FDF,Bamako  ,Nike
3209,tmssl.akamaized.net//images/portrait/header/64371-1478771406.jpg?lm=1478771415,Pedro Moreira,Pedro Manuel da Silva Moreira,6,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,25 mill. € ",121.0,"1,81m",derecho,27,15/03/1989,30.06.2018,Medio campo - Medio centro,07/07/2015,-,Lousada  ,-
3210,tmssl.akamaized.net//images/portrait/header/34077-1478771687.jpg?lm=1478771719,Tarantini,Ricardo José Vaz Alves Monteiro,8,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,25 mill. € ",121.0,"1,88m",derecho,33,07/10/1983,30.06.2018,Medio campo - Medio centro,01/07/2008,Ulisses Santos - US11,Gestaçô  ,-
3211,tmssl.akamaized.net//images/portrait/header/229854-1478771678.jpg?lm=1478771711,Leandrinho,Leandro Cordeiro de Lima Silva,21,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,500 miles € ,121.0,"1,78m",derecho,23,25/09/1993,30.06.2020,Medio campo - Medio centro,14/07/2016,Soccertalents,Espinosa  ,-
3212,tmssl.akamaized.net//images/portrait/header/52480-1478771353.jpg?lm=1478771381,Rúben Ribeiro,Rúben Tiago Rodrigues Ribeiro,70,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,800 miles € ,121.0,"1,75m",derecho,29,01/08/1987,30.06.2018,Medio campo - Medio centro ofensivo,01/07/2016,"TGC - Sports Management, Events &amp; Trading",Porto  ,-
3213,tmssl.akamaized.net//images/portrait/header/261988-1478771256.jpg?lm=1478771338,Filip Krovinovic,Filip Krovinović,10,Croacia,//tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1396275477,750 miles € ,121.0,"1,75m",derecho,21,29/08/1995,30.06.2019,Medio campo - Medio centro ofensivo,30/08/2015,Onsoccer,Zagreb  ,-
3214,tmssl.akamaized.net//images/portrait/header/228940-1478771654.jpg?lm=1478771669,João Novais,João Pedro Barradas Novais,20,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,450 miles € ,121.0,"1,79m",derecho,23,10/07/1993,30.06.2019,Medio campo - Medio centro ofensivo,03/07/2015,PromoSport,Vila Nova de Gaia  ,-
3215,tmssl.akamaized.net//images/portrait/header/350310-1478771265.jpg?lm=1478771330,Vitó,Victor Emanuel Araújo Ferreira,18,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,75 miles € ,121.0,"1,80m",izquierdo,19,18/09/1997,30.06.2021,Medio campo - Medio centro ofensivo,01/07/2016,Gestifute,Barcelos  ,-
3216,tmssl.akamaized.net//images/portrait/header/90660-1478771318.jpg?lm=1478771366,Héldon,Héldon Augusto Almeida-Bradley Ramos,24,Cabo Verde,//tmssl.akamaized.net//images/flagge/verysmall/32.png?lm=1396275486,"1,75 mill. € ",121.0,"1,74m",derecho,28,14/11/1988,30.06.2017,Delantero - Extremo izquierdo,08/08/2015,SEG,Ilha do Sal  ,-
3217,tmssl.akamaized.net//images/portrait/header/329723-1478770887.jpg?lm=1478770960,Gil Dias,Gil Bastião Dias,31,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,800 miles € ,121.0,"1,83m",izquierdo,20,28/09/1996,30.06.2017,Delantero - Extremo izquierdo,01/07/2016,-,Gafanha  ,-
