,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
21668,3364.0,08/09,01/01/2009,Internacional,Oeste,300 miles €,Préstamo
21669,3364.0,08/09,01/12/2008,Portuguesa,Internacional,100 miles €,Fin de préstamo
21670,3364.0,07/08,01/01/2008,Internacional,Portuguesa,-,Préstamo
21671,3364.0,07/08,01/12/2007,Santa Cruz,Internacional,-,Fin de préstamo
21672,3364.0,06/07,01/01/2007,Internacional,Santa Cruz,-,Préstamo
21673,3364.0,04/05,01/01/2005,Sport Club Internacional B,Internacional,-,-
21674,3365.0,16/17,31/12/2016,NorthEast Utd.,Marítimo,175 miles €,Fin de préstamo
21675,3365.0,16/17,01/07/2016,Marítimo,NorthEast Utd.,250 miles €,Préstamo
21676,3365.0,12/13,01/07/2012,ABC,Marítimo,-,?
21677,3365.0,11/12,30/06/2012,Duque de Caxias,ABC,-,Fin de préstamo
21678,3365.0,11/12,01/05/2012,ABC,Duque de Caxias,-,Préstamo
21679,3365.0,09/10,01/01/2010,ABC,ABC,25 miles €,-
21680,3366.0,16/17,24/01/2017,Barreirense,Marítimo,100 miles €,?
21681,3366.0,16/17,01/10/2016,Sin equipo,Barreirense,100 miles €,-
21682,3366.0,15/16,27/07/2015,Rah Ahan,Sin equipo,150 miles €,-
21683,3366.0,14/15,05/07/2014,Persepolis,Rah Ahan,100 miles €,?
21684,3366.0,12/13,15/07/2012,OC Blues FC,Persepolis,-,100 miles €
21685,3366.0,11/12,01/07/2011,Desconocido,OC Blues FC,-,Libre
21686,3366.0,10/11,01/07/2010,London Tigers,Desconocido,-,Libre
21687,3366.0,09/10,01/07/2009,Tottenham U18,London Tigers,-,Libre
21688,3367.0,15/16,26/01/2016,Vasco da Gama,Marítimo,100 miles €,Libre
21689,3367.0,14/15,01/04/2015,Club de Regatas Vasco da Gama B,Vasco da Gama,-,-
21690,3367.0,13/14,01/01/2014,Cruzeiro B,Club de Regatas Vasco da Gama B,-,?
21691,3368.0,16/17,29/01/2017,FC Stumbras,Marítimo,75 miles €,?
21692,3368.0,16/17,14/07/2016,Sin equipo,FC Stumbras,75 miles €,-
21693,3368.0,15/16,27/04/2016,Bragantino,Sin equipo,75 miles €,-
21694,3368.0,15/16,29/07/2015,Mamoré-MG,Bragantino,-,Libre
21695,3368.0,14/15,01/01/2015,Nacional,Mamoré-MG,-,Libre
21696,3368.0,14/15,01/07/2014,Mamoré-MG,Nacional,-,?
21697,3368.0,13/14,01/01/2014,Santa Helena,Mamoré-MG,-,?
21698,3368.0,12/13,01/06/2013,Mamoré-MG,Santa Helena,-,?
21699,3368.0,12/13,01/01/2013,Portuguesa (SP),Mamoré-MG,-,?
21700,3368.0,11/12,01/01/2012,PSTC,Portuguesa (SP),-,?
21701,3368.0,10/11,01/12/2010,Coritiba FC,PSTC,50 miles €,Fin de préstamo
21702,3368.0,09/10,01/09/2009,PSTC,Coritiba FC,-,Préstamo
21703,3369.0,16/17,10/01/2017,TJ Teda,Marítimo,"1,00 mill. €",Préstamo
21704,3369.0,15/16,05/02/2016,Nacional,TJ Teda,"2,00 mill. €",?
21705,3369.0,13/14,01/07/2013,Muçulmana,Nacional,-,100 miles €
21706,3369.0,12/13,01/12/2012,Maputo,Muçulmana,-,Libre
21707,3370.0,15/16,01/02/2016,Portimonense,Marítimo,300 miles €,?
21708,3370.0,15/16,31/01/2016,Porto B,Portimonense,300 miles €,Fin de préstamo
21709,3370.0,15/16,31/07/2015,Portimonense,Porto B,300 miles €,Préstamo
21710,3370.0,14/15,01/07/2014,CA Juventus,Portimonense,-,Libre
21711,3371.0,16/17,18/07/2016,Ceará SC,Marítimo,900 miles €,Fin de préstamo
21712,3371.0,15/16,28/01/2016,Marítimo,Ceará SC,"1,00 mill. €",Préstamo
21713,3371.0,14/15,06/01/2015,Figueirense FC,Marítimo,200 miles €,?
21714,3371.0,13/14,01/01/2014,Paysandu,Figueirense FC,-,?
21715,3371.0,12/13,01/01/2013,Sport Recife,Paysandu,-,Libre
21716,3371.0,12/13,01/11/2012,Londrina EC,Sport Recife,-,Fin de préstamo
21717,3371.0,12/13,01/09/2012,Sport Recife,Londrina EC,-,Préstamo
21718,3371.0,12/13,01/08/2012,Criciúma EC,Sport Recife,-,Fin de préstamo
21719,3371.0,11/12,01/05/2012,Sport Recife,Criciúma EC,-,Préstamo
21720,3371.0,11/12,01/04/2012,Arapongas,Sport Recife,-,Fin de préstamo
21721,3371.0,11/12,01/02/2012,Sport Recife,Arapongas,-,Préstamo
